data,jogo,plataforma,quantidade,valor
25/06/2023,Gran Turismo 7,PS5,70,349.90
30/06/2023,Mortal Kombat 11,Multiplataforma,90,199.90
05/07/2023,Star Wars Jedi: Survivor,PS5,55,349.90
10/07/2023,Hogwarts Legacy,PC,120,299.90
15/07/2023,Dead Space Remake,PS5,45,349.90
20/07/2023,Street Fighter 6,Multiplataforma,65,299.90
25/07/2023,Diablo IV,PC,85,349.90
30/07/2023,Final Fantasy XVI,PS5,60,349.90
05/08/2023,The Witcher 3: Wild Hunt,Switch,110,149.90
10/08/2023,Destiny 2,Multiplataforma,180,0.00
15/08/2023,Tomb Raider,PC,75,79.90
20/08/2023,Need for Speed Heat,PS4,95,199.90
25/08/2023,Sonic Frontiers,Multiplataforma,50,249.90
01/09/2023,Stray,PS5,40,149.90
05/09/2023,It Takes Two,Multiplataforma,35,199.90
10/09/2023,Sea of Thieves,Xbox Series X,80,149.90
15/09/2023,Gears 5,Xbox Series X,65,199.90
20/09/2023,Halo Infinite,Multiplataforma,95,299.90
25/09/2023,Forza Horizon 5,Xbox Series X,110,299.90
30/09/2023,Microsoft Flight Simulator,PC,45,249.90
05/10/2023,Age of Empires IV,PC,55,199.90
10/10/2023,Civilization VI,PC,70,149.90
15/10/2023,The Sims 4,PC,250,0.00
20/10/2023,Cities: Skylines,PC,60,89.90
25/10/2023,Stardew Valley,Multiplataforma,85,45.90
30/10/2023,Undertale,Multiplataforma,95,39.90
05/11/2023,Celeste,Multiplataforma,40,59.90
10/11/2023,Hollow Knight,Multiplataforma,115,49.90
15/11/2023,Cuphead,Multiplataforma,75,79.90
20/11/2023,Dead Cells,Multiplataforma,65,69.90
25/11/2023,Hades,Multiplataforma,90,79.90
30/11/2023,Returnal,PS5,35,349.90
05/12/2023,Ratchet & Clank: Rift Apart,PS5,50,349.90
10/12/2023,Demon's Souls,PS5,40,349.90
15/12/2023,Ghost of Tsushima,PS4,85,199.90
20/12/2023,Bloodborne,PS4,70,149.90
25/12/2023,Uncharted 4: A Thief's End,PS4,95,149.90
30/12/2023,The Last of Us Part II,PS4,60,199.90
05/01/2024,Death Stranding,PC,55,149.90
10/01/2024,Metro Exodus,Multiplataforma,45,129.90
